Australian Journal of Adult Learning,1443-1394,N/A,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,53
Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME,1665-2436,2007-6819,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,54
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1476-8062,1476-8070,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,55
RIDE-The Journal of Applied Theatre and Performance,1356-9783,1470-112X,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,56
JOURNAL OF LEGAL EDUCATION,0022-2208,0022-2208,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,57
EDUCATIONAL LEADERSHIP,0013-1784,1943-5878,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,58
Egitim ve Bilim-Education and Science,1300-1337,1300-1337,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,59
Journal of Baltic Science Education,1648-3898,1648-3898,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,60
KEDI Journal of Educational Policy,1739-4341,1739-4341,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,61
ZEITSCHRIFT FUR PADAGOGIK,0044-3247,N/A,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,62
Movimento-Porto Alegre,0104-754X,1982-8918,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,63
Croatian Journal of Education-Hrvatski Casopis za Odgoj i obrazovanje,1848-5189,1848-5197,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,64
Curriculum Matters,1177-1828,N/A,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,65
Cadmo,1122-5165,1972-5019,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,66
Pedagogische Studien,0165-0645,0165-0645,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,67
Zeitschrift fur Soziologie der Erziehung und Sozialisation,1436-1957,1436-1957,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,68
npj Science of Learning,N/A,2056-7936,EDUCATION & EDUCATIONAL RESEARCH - SSCI,N/A,1
ACADEMIC MEDICINE,1040-2446,1938-808X,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,1
MEDICAL EDUCATION,0308-0110,1365-2923,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,2
Studies in Science Education,0305-7267,1940-8412,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,3
International Journal of STEM Education,2196-7822,2196-7822,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,4
Hematology-American Society of Hematology Education Program,1520-4391,1520-4383,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,5
ADVANCES IN HEALTH SCIENCES EDUCATION,1382-4996,1573-1677,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,6
MEDICAL TEACHER,0142-159X,1466-187X,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,7
CBE-Life Sciences Education,1931-7913,1931-7913,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,8
Perspectives on Medical Education,2212-2761,2212-277X,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,9
JOURNAL OF ENGINEERING EDUCATION,1069-4730,2168-9830,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,10
TEACHING AND LEARNING IN MEDICINE,1040-1334,1532-8015,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q1,11
Journal of Surgical Education,1931-7204,1878-7452,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,1
Anatomical Sciences Education,1935-9772,1935-9780,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,2
Journal of Science Education and Technology,1059-0145,1573-1839,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,3
BMC Medical Education,N/A,1472-6920,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,4
NURSE EDUCATION TODAY,0260-6917,1532-2793,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,5
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,0894-1912,1554-558X,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,6
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,1499-4046,1878-2620,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,7
ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,1522-1229,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,8
Physical Review Physics Education Research,2469-9896,2469-9896,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,9
Chemistry Education Research and Practice,1109-4028,1756-1108,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,10
JOURNAL OF SCHOOL HEALTH,0022-4391,1746-1561,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q2,11
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,0002-9459,1553-6467,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,1
ACM Transactions on Computing Education,1946-6226,1946-6226,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,2
Engineering Studies,1937-8629,1940-8374,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,3
JOURNAL OF CANCER EDUCATION,0885-8195,1543-0154,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,4
IEEE TRANSACTIONS ON EDUCATION,0018-9359,1557-9638,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,5
European Journal of Dental Education,1396-5883,1600-0579,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,6
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,0957-7572,1573-1804,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,7
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,1470-8175,1539-3429,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,8
AMERICAN JOURNAL OF PHYSICS,0002-9505,1943-2909,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,9
JOURNAL OF CHEMICAL EDUCATION,0021-9584,1938-1328,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,10
JOURNAL OF BIOLOGICAL EDUCATION,0021-9266,2157-6009,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q3,11
JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,1052-3928,1943-5541,"EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",Q4,1
